Energy,s,py,pz,px,dxy,dyz,dz2,dxz,dx2,fy3x2,fxyz,fyz2,fz3,fxz2,fzx2,fx3,tot
-42.46407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.44007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.41607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.39207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.36807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.34407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.32007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.29607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.27207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.24807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.22407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.17607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.15207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.12807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.10407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.08007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.05707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.03307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.00907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.98507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.96107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.93707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.91307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.88907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.86507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.84107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.81707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.79307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.76907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.74507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.72107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.69707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.67307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.64907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.62507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.60107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.57707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.55307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.52907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.50507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.48107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.45707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.43307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.40907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.38507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.36107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.33707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.31307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.28907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.26507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.24107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.21707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.19307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.17007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.14607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.12207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.09807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.07407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.05007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.02607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.00207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.97807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.95407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.93007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.90607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.88207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.85807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.83407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.81007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.78607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.76207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.73807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.71407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.69007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.66607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.64207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.61807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.59407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.57007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.54607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.52207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.49807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.47407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.45007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.42607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.40207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.37807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.35407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.33007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.30607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.28207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
